id,name,scientific_name,description,image_url,location,funder
1,Anglerfish,Lophiiformes ,"Deep-sea ambusher, glowing lure dangling, slowly drifting, waiting for unsuspecting prey, massive mouth snaps, eerie presence, ghostly, rare, alien-like hunter of darkness.",anglerfish.png,DEEP,
2,Argus Wrasse,Halichoeres argus,"Bright spots across elongated body, darting among rubble and corals, snatching small crustaceans, agile, curious, alert, playful wrasse with subtle patterns.",UNDEFINED,GBR,
3,Aussie Angelshark,Squatina australis,"Buries in sand, raylike fins spread, upward-facing eyes scanning, ambushing fish and squid along southern Australia’s continental shelves.",angelshark.png,GSR,
4,Aussie Fur Seal,Arctocephalus pusillus doriferus,"Playful underwater acrobat, hunting fish, resting on rocky outcrops, bold, curious, agile, social interactions, noisy and charming pinniped of Southern coasts.",UNDEFINED,GSR,
5,Aussie Sea Lion,Neophoca cinerea,"Playful underwater, foraging benthic prey, resting on remote islands, unique 18-month breeding cycle across southern Australian waters.",aussiesealion.png,GSR,
6,Aussie Snubfin Dolphin,Orcaella heinsohni,"Small, pinkish face, coastal tropical pods, curious, playful, photogenic, social, subtle estuary and nearshore hunter, charming reef companion.",UNDEFINED,OPEN,
7,Australian Gregory,Stegastes apicalis,"Bold, territorial damselfish, bright blue-grey, guards coral patches fiercely, nibbles algae, photogenic, reef gardener and tiny underwater bodyguard, classic Aussie reef personality.",australiangregory.png,GBR,
8,Banded Archerfish,Toxotes jaculatrix,"Shoots precise water jets at insects, hovering near surface, agile, alert, schooling in mangroves or estuaries, clever, small predator with perfect aim.",UNDEFINED,MANG,
9,Banded Morwong,Chirodactylus spectabilis,Feeds on small urchins which may play a role in controlling numbers,UNDEFINED,GSR,
10,Banded Snake Eel,Myrichthys colubrinus,"Slender, banded, burrowing sandy predator, peeking, ambushing crustaceans, subtle undulations, shy, cryptic, reef’s hidden stealth hunter, elegant and secretive.",UNDEFINED,OPEN,
11,Barnacle,Chthalamus antennatus,"Clings to rocky intertidal zones, small grey-brown shell plates, filter-feeding plankton from waves, tough against crashing surf and drying sun, often in dense clusters.",barnacle.png,ROCK,
12,Barreleye,Opisthoproctus soleatus,"Transparent dome head, tubular eyes rotating, scanning silhouettes above, delicately stealing drifting siphonophore prey in perpetual twilight zones.",barreleye.png,DEEP,
13,Bicolor Chromis,Pycnochromis margeritifer,"Hovering above branching corals, bright bicolour body, feeding on plankton, retreating quickly, shoaling tightly with strong site fidelity.",bicolorchromis.png,GBR,
14,Big Bellied Seahorse,Hippocampus abdominalis,"Males brood eggs in oversized pouch, gripping seagrass and kelp with prehensile tails, slow-moving yet resilient along temperate coasts.",bigbelliedseahorse.png,GSR,
15,Bigfin Squid,Magnapinna,"Long, delicate arms and huge fins, drifting silently in deep-sea darkness, tentacles trailing mysteriously, rarely seen, enigmatic movements hinting at unknown feeding strategies.",bigfinsquid.png,DEEP,
16,Birdnose Wrasse female,Gomphosus varius,"Elongated snout probing sand and coral crevices, females green, males blue, darting swiftly across lagoons and reef slopes.",birdnosefemale.png,GBR,
17,Birdnose Wrasse male,Gomphosus varius,"Elongated snout probing sand and coral crevices, females green, males blue, darting swiftly across lagoons and reef slopes.",UNDEFINED,GBR,
18,Birdwire Rockcod,Epinephelus merra,"Tiny and mottled, weaving among coral branches, ambushing small fish, darting quickly into crevices, rarely leaving familiar reef corners.",UNDEFINED,GBR,
19,Biscuit Star,Tosia Australis,"Flattened and soft, rolling slowly over sandy seafloor, scavenging detritus, often forming small clusters, blending with muted reef tones.",biscuitstar.png,ROCK,
20,Black Backed Butterflyfish,Chaetodon melannotus,"Striking pattern, feeding on coral polyps, gliding gracefully along reef walls, pairing closely with mates, agile among branching corals.",UNDEFINED,GBR,
21,Black Barred Wrasse,Thalassoma nigrofasciatum,"Boldly striped, darting around reef edges, snatching crustaceans, rapidly changing colours with mood, schooling in shallow lagoons.",UNDEFINED,GBR,
22,Black Dogfish Shark,Centroscyllium fabricii ,"Small dark body, bioluminescent organs, slow-moving along continental slopes, feeding on squid and benthic fish in cold waters",blackdogfishshark.png,DEEP,
23,Black Marlin,Istiompax indica,"Jet-speed predator, dark metallic back, leaps and smashes prey, tropical offshore hunter, photogenic, ocean’s missile with fins like knives.",UNDEFINED,OPEN,
24,Black Tip Reef Shark,Carcharhinus melanopterus,"Fins tipped with black, patrolling shallow lagoons and reef slopes, hunting small fish, social yet wary, resting near sandy bottoms.",UNDEFINED,GBR,
25,Blackback Anenomefish,Amphiprion melanopus,"Lives among stinging anemones, defending territory fiercely, protandrous sex-change, flashes of bright orange contrasting against reef crevices, bold and territorial.",UNDEFINED,GBR,
26,Blackspotted Puffer,Arothron nigropunctatus,"Inflates body when threatened, bold black spots, slow-moving reef omnivore, photogenic, reef’s playful armored joker.",UNDEFINED,GBR,
27,Blackthroated Threefin,Helcogramma decurrens ,"Tiny, darting over reef rocks, black throat markings flashing, hovering near crevices, feeding on small invertebrates, curious yet skittish.",blackthroatedthreefin.png,GSR,
28,Blobfish ,Psychrolutes marcidus ,"Jelly-like, drifting just above deep-sea floor, minimal movement, feeding opportunistically on invertebrates, soft body cushioning pressure in crushing depths.",blobfish.png,DEEP,
29,Blue and Yellow Fusilier,Caesio teres,"Sleek, schooling fish, shimmering cobalt and gold, slicing through midwater, feeding on plankton, coordinated flicks and sudden directional changes.",blueandyellowfusilier.png,GBR,
30,Blue Ascidians,Aplidium spp,"Stationary, colonial filter-feeders, bright blue clumps, pulsating siphons extracting plankton, blending into reef, forming intricate patterns across hard substrates.",UNDEFINED,GSR,
31,Blue Dragon Nudibranch,Glaucus atlanticus,"Tiny floating beauty, blue-white, predatory on venomous prey, photogenic, reef-floor or surface drift, subtle yet deadly.",UNDEFINED,THAI,
32,Blue Marlin,Makaira nigricans,"Massive oceanic hunter, cobalt-blue back, long pointed bill, leaps, chases schools of fish, photogenic, tropical pelagic showstopper.",UNDEFINED,OPEN,
33,Blue Ringed Octopus,Hapalochlaena maculosa,"Small, vivid blue rings flashing when threatened, hiding in crevices, venomous, ambush predator, arms curling with hypnotic precision.",blueringedoctopus.png,GSR,
34,Blue Sea Star,Linckia laevigata,"Bright blue, gliding slowly over sand, tiny tube feet moving, subtle undulations, striking colour, photogenic, gentle reef floor resident, small iconic star.",UNDEFINED,GBR,
35,Blue Shark,Prionace glauca,"Slender, pelagic predator, shimmering cobalt body, patrolling open ocean, hunting schooling fish, migratory yet graceful, constantly on the move.",UNDEFINED,OPEN,
36,Blue Soldier Crab,Mictyris longicarpus,"Tiny, electric-blue, marches in mass across sandy beaches, digs burrows, waving claws, mesmerizing swarms, perfect photogenic coastal spectacle, playful crustacean.",UNDEFINED,GBR,
37,Blue Spotted Jawfish,Opistognathus rosenblatti,"Small sand burrower, curious eyes poking out, photogenic, reef-floor sentinel, subtle tropical reef micro-predator.",UNDEFINED,THAI,
38,Blue Swimmer Crab,Portunus pelagicus,"Bright blue shell, long swimming legs, scuttling across sand and seagrass, scavenging opportunistically, flicking claws in defensive displays.",UNDEFINED,GSR,
39,Blue-green Puller,Blue-Green Puller,"Hovering above coral, neon turquoise, darting in synchronized shoals, feeding on plankton, small yet conspicuous, agile and constant.",bluegreenpuller.png,GBR,
